iters,timesteps,total_episode,eval_score,train_score,Robot_0_score,Robot_1_score,Robot_2_score,Robot_3_score,Robot_4_score
740,7587840,15175,3.7903918150536144,3.667085644636367,3.440814496102057,5.548305856741903,3.0564084034842516,6.241689896618724,0.664740422321134
750,7690240,15380,3.861312735470082,3.639040283698128,3.5900012430151853,5.472266650713212,3.031835822715174,6.519197503862975,0.6932624570438665
760,7792640,15585,3.82558708859544,3.4799419721198923,3.4766069883304263,5.428986928475242,3.034160929720656,6.439809867065208,0.7483707293856706
770,7895040,15790,3.7948414973214155,3.5647070698911287,3.458317149094225,5.489233087181683,3.041716391041435,6.204804503387723,0.7801363559020134
780,7997440,15990,3.8101948205178786,3.6673802654801206,3.5037245442211424,5.4458881536494514,3.0701867475121785,6.1891365647704735,0.842038092436149
790,8099840,16195,3.8902531047133815,3.5953973970336954,3.493835591220935,5.504767448940836,3.1323053656675697,6.335337002769528,0.985020114968036
800,8202240,16400,3.8021105666836723,3.711161852048362,3.4205253341851423,5.502827986572028,3.1486938938176374,5.980727488485353,0.9577781303581985
810,8304640,16605,3.9075973095028287,3.694728700111304,3.5086160729072158,5.546127803544539,3.1582232489108084,6.282283547360506,1.0427358747910769
820,8407040,16810,3.915876479903081,3.724834879784838,3.550836157905553,5.3915955543262175,3.1726702791538766,6.457679236368805,1.0066011717609549
830,8509440,17015,3.904828779589974,3.785642773731454,3.3990846908315735,5.361035949872254,3.167789512972545,6.622625734429763,0.9736080098437351
840,8611840,17220,3.7736037386272514,3.7131589871237027,3.338693758976243,5.354244726805308,3.1575939628227667,6.466824573963808,0.5506616705681336
850,8714240,17425,3.8385402036319434,3.838970331851717,3.417611685372576,5.334455834830835,3.1289899895164,6.593115888985253,0.7185276194546536
860,8816640,17630,3.919237398708303,3.6345502838936037,3.471803729199981,5.376712703965419,3.0883270903938302,6.414490251950532,1.2448532180317513
870,8919040,17835,3.9546994573008454,3.795825250891009,3.429557827880432,5.513074150914267,3.106612455328856,6.371554345018897,1.3526985073617748
880,9021440,18040,3.9887406180039044,3.8417900476046127,3.528509297258446,5.480043764306409,3.093272326304087,6.331816073550682,1.5100616285999
890,9123840,18245,4.040720850229884,3.828409477692984,3.5054387539400853,5.3772548950228485,3.106855893351032,6.553601011759367,1.6604536970760873
900,9226240,18450,4.038675388327384,3.8669352915705444,3.643112039789319,5.3316804508627,3.135006920476415,6.357785413040053,1.7257921174684359
910,9328640,18655,4.053340673579809,3.76701094429203,3.6603479580650884,5.469576488272711,3.1149486622878566,6.326082606998571,1.6957476522748165
920,9431040,18860,3.914562467117269,3.886442791781507,3.6526786798058803,5.350045963219061,3.1061609491088706,6.065061058281173,1.3988656851713626
930,9533440,19065,4.049650365932082,3.8890107656314337,3.601436724522221,5.28674945579022,3.106232604839047,6.520809199604554,1.7330238449043673
940,9635840,19270,4.100605828423369,3.893705484425607,3.6553636016523288,5.304464369056947,3.121179395130493,6.474566903949977,1.9474548723271001
950,9738240,19475,4.083095576602089,3.9533525042025373,3.6423413784551757,4.9991667261158526,3.104660729648802,6.659948000529655,2.009361048260958
960,9840640,19680,4.2149307950395505,3.836876657480243,3.591609361873627,5.377285023424471,3.1462179466819844,6.739756913665248,2.219784729552419
970,9943040,19885,4.23008138311383,3.9861185788124494,3.6652765762557866,5.4303150922322905,3.157800894776563,6.500349076029937,2.3966652762745713
980,10045440,20090,4.0880114086680495,4.014452109387655,3.726146233901015,4.8676971871029195,3.140326651588773,6.3604575039663604,2.345429466781177
990,10147840,20295,4.308446998058442,4.077642051053465,3.792447256385172,5.554733378323799,3.146000170828142,6.387432944385974,2.6616212403691257
1000,10250240,20500,4.313370077544127,4.015459321178137,3.644591354983466,5.584176176205597,3.1534762193431716,6.557564383226984,2.627042253961412
1010,10352640,20705,4.306220060146155,4.052006599791993,3.749140216730908,5.478114846150666,3.1044303922451575,6.471486086987693,2.727928758616356
1020,10455040,20910,3.925809919394615,4.017082805524984,3.8242810714407933,5.500042760986568,3.0694292838999555,6.416630306579285,0.8186661740664768
1030,10557440,21110,4.345628098505669,3.9819594326581766,3.6771446873931137,5.731283618362404,3.1398477000818903,6.299457312585647,2.8804071741052897
1040,10659840,21315,4.388447011612832,4.114701659599089,3.682409365211668,5.68101485754271,3.1485193629473613,6.496734359749732,2.933557112612686
1050,10762240,21520,4.455481641439775,4.083067719302662,3.721427826590638,5.850644965731579,3.1235261181680283,6.700623496926481,2.8811857997821475
1060,10864640,21725,4.348571924411213,4.089337093377828,3.6993526968929134,5.798054999394308,3.0738313300394458,6.262978218885404,2.908642376843992
1070,10967040,21930,4.474507327880063,3.9661488129313676,3.7609942275377843,5.766028404846135,3.1180613688817385,6.76293624918143,2.964516388953224
1080,11069440,22135,4.4582493661041696,4.179683393759182,3.770491230769257,5.7682379614600485,3.1302692193136625,6.535143799440863,3.087104619537016
1090,11171840,22340,4.427832874222704,4.197214390738629,3.818871307183021,5.607790640764496,3.1327926925851766,6.591930170146468,2.987779560434361
1100,11274240,22545,4.370082936609682,4.212592607659483,3.689933605769327,5.340687463817457,3.191483695159368,6.5771178527746,3.0511920655276574
1110,11376640,22750,4.356851528934062,4.17623005549744,3.878089543564185,5.083167105019789,3.1461260558478514,6.707453666511207,2.9694212737272765
