iters,timesteps,total_episode,eval_score,train_score,Robot_0_score,Robot_1_score,Robot_2_score,Robot_3_score,Robot_4_score
1010,10352640,20706,4.258357591694357,3.907724287858398,4.236877630127289,0.13523152421647358,7.639122361512688,5.073450715734021,4.207105726881313
1020,10455040,20911,4.303696216749296,3.9708707207117344,4.238319759949391,0.1348942592612184,7.692849509756915,5.10972919847967,4.342688356299286
1030,10557440,21112,4.250586108709264,4.112181961203204,4.2071601360008115,0.14753553559903285,7.66555552392346,5.197295770811092,4.035383577211924
1040,10659840,21317,4.324162575824605,4.143116796906126,4.284711268958729,0.14571835150317528,7.82221950919716,5.077079912354402,4.291083837109562
1050,10762240,21522,4.2959266023281915,4.127214948176237,4.2793633727002796,0.1351529084738984,7.724962262001945,4.982959926301255,4.357194542163577
1060,10864640,21727,4.362697064383888,4.033013604113277,4.2221765788550165,0.138403859278676,7.746683698297739,5.239528951891354,4.466692233596652
1070,10967040,21932,4.37129314230363,3.9950267658539547,4.247356245906802,0.1272015908603903,7.796991177966879,5.065463302432519,4.619453394351557
1080,11069440,22137,4.277367023521658,4.115099705189545,4.068564291734089,0.13280617464342884,7.739314704199722,4.999678715929862,4.446471231101192
1090,11171840,22342,4.315053309824369,4.1220537654746865,4.136808014744822,0.13515084220863882,7.880989391627514,4.799605579879535,4.622712720661335
1100,11274240,22547,4.359614874271129,4.179257672519065,4.26157457099057,0.13148979358340487,7.697401728998252,5.172581157504818,4.535027120278604
1110,11376640,22752,4.286368739374993,4.079586085294312,4.104945600581613,0.13234119592771276,7.6997971822827544,5.039748662747799,4.455011055335086
1120,11479040,22957,4.4560945857092324,4.116101928842674,4.316660452660572,0.13775174468817034,7.8067135753527115,5.301096396899744,4.71825075894496
1130,11581440,23162,4.456455835285773,4.115364253289672,4.320437701483453,0.135140822576293,7.862858126282928,5.198485664832553,4.765356861253638
1140,11683840,23367,4.384367887202685,4.164356385463048,4.321271801307727,0.13487127946018002,7.706154720459545,5.108796598798216,4.650745035987758
1150,11786240,23572,4.54424459395737,4.208516082690483,4.361285136069185,0.13246597837282584,7.744869164848294,5.535915149408104,4.94668754108844
1160,11888640,23777,4.43909330231442,4.15808383825088,4.361052601671508,0.1351576615426325,7.891100348103452,5.176325008248113,4.631830892006396
1170,11991040,23982,4.5349083736998,4.199710514914679,4.341322913431315,0.1386260236980115,8.009887942249692,5.31305252622268,4.871652462897299
1180,12093440,24187,4.4207429084710075,4.164347905406052,4.362937320248499,0.13375252693274858,7.892742744355957,4.819605915627915,4.894676035189919
1190,12195840,24392,4.45192776751201,4.279742142107649,4.41317568282394,0.13330314788921183,7.728942740911778,5.133571069886177,4.850646196048945
1200,12298240,24597,4.4499009798053475,4.246084727198766,4.383699917963968,0.143139798256313,7.858612668735967,4.8944273795662685,4.969625134504216
1210,12400640,24802,4.503837556620583,4.268658949395161,4.303884557245479,0.1436099533839836,7.805822987531037,5.342236515197898,4.923633769744514
1220,12503040,25007,4.549495471473382,4.283386736064086,4.395265110461405,0.1344249006412327,7.981538185082025,5.245152751578443,4.991096409603805
1230,12605440,25212,4.496000639541004,4.284910132768085,4.382847160978562,0.13425423186762844,7.92400380387567,5.192287957417271,4.846610043565889
1240,12707840,25416,4.532977266967819,4.251214928492984,4.3548605324077165,0.14712088583055374,7.886063615016974,5.268019989892206,5.0088213116916425
1250,12810240,25621,4.536953036258042,4.222605813417479,4.333594437109652,0.13332274874667147,7.890593395692805,5.306498785435146,5.020755814305939
1260,12912640,25826,4.429381063445871,4.166696595322117,4.3625226897726606,0.14773004712422053,7.906322610155993,5.079505580232782,4.650824389943699
